Data de Emissão:;03/jan/2023
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Transformador de Distribuição Aéreo.Identificador do Objeto;Transformador de Distribuição Aéreo.Número Operacional;Transformador de Distribuição Aéreo.Coordenada X;Transformador de Distribuição Aéreo.Coordenada Y;Transformador de Distribuição Aéreo.Potência Nominal (kVA);Transformador de Distribuição Aéreo.Demanda Total (kVA);Transformador de Distribuição Aéreo.Potência instalada GD total (W);Transformador de Distribuição Aéreo.Tensão do TAP ajustado (kV);Transformador de Distribuição Aéreo.Proprietário
ATA02;107815;11460;385288.86;7000212.17;10;1.7;0;6;1 - Celesc;
ATA02;107817;9830;388764.8;6997856.58;30;5;0;21;1 - Celesc;
ATA02;107818;9210;388149.92;6998985.31;10;3;0;6;1 - Celesc;
ATA02;107799;6983;388006.09;7003415.74;45;24.3;1500;21;1 - Celesc;
ATA02;107800;5968;388504.68;7003510.54;45;2.9;10560;21;1 - Celesc;
ATA02;107801;6982;389274.35;7003600.57;45;21.7;0;21;1 - Celesc;
ATA02;107234;8987;392540.35;6997040.24;25;1.3;19760;6;1 - Celesc;
ATA02;107233;9362;393231.99;6997284.69;10;0.4;0;6;1 - Celesc;
ATA02;107231;8650;399204.11;7009633.33;10;0.5;0;6;1 - Celesc;
ATA02;107232;9361;393417.8;6997853.29;30;2.6;8000;21;1 - Celesc;
ATA02;107235;8988;392010.11;6996398.58;37.5;10.4;20000;6;1 - Celesc;
ATA02;107236;8990;392354.33;6998864.11;15;2.1;0;6;1 - Celesc;
ATA02;107237;8991;392329;6999392.03;15;0.5;0;7;1 - Celesc;
ATA02;107238;8992;392296.78;7000070.33;10;6.8;0;6;1 - Celesc;
ATA02;107239;8993;391802.91;6998363.7;37.5;2.9;0;6;1 - Celesc;
ATA02;107240;12078;390818.87;6998117.81;30;5.1;0;21;1 - Celesc;
ATA02;107241;8995;390877.526058734;6998663.85214558;15;0.4;0;6;1 - Celesc;
ATA02;107242;8996;391131.79;6999241.33;25;0.9;0;6;1 - Celesc;
ATA02;107243;8998;391103.06;7000196.89;10;1.9;0;6;1 - Celesc;
ATA02;107244;9639;390737.22;7000112.01;25;7.8;0;7;1 - Celesc;
ATA02;107246;9000;390017.78;6999103.1;5;0;0;6;1 - Celesc;
ATA02;107247;9001;390598.99;6997988.73;30;1.9;15000;22;1 - Celesc;
ATA02;107248;9002;390152.67;6997566.38;15;5.8;0;6;1 - Celesc;
ATA02;107249;9003;389615.88;6997212.19;15;5;14300;6;1 - Celesc;
ATA02;107250;9811;389632.64;6996875.29;10;1.4;0;6;1 - Celesc;
ATA02;107251;9004;391729.63;6997545.22;10;1.3;10000;6;1 - Celesc;
ATA02;107252;9005;391347.85;6996897.98;15;4.3;0;6;1 - Celesc;
ATA02;107269;8634;398419.84;7010361.23;10;0.6;0;6;1 - Celesc;
ATA02;107270;12227;398117.38;7016849.37;10;5.1;0;6;1 - Celesc;
ATA02;107271;8804;395499.22;7004332.58;10;0.3;0;6;1 - Celesc;
ATA02;107272;12034;395273.78;7004485.08;10;0;0;6;1 - Celesc;
ATA02;107273;8803;395476.36;7003769.79;10;5.5;0;6;1 - Celesc;
ATA02;107274;8802;394632.18;7003761.3;30;8.6;0;21;1 - Celesc;
ATA02;107275;7184;395394.47;7003107.06;30;2;0;21;1 - Celesc;
ATA02;107276;9330;396962.69;7016657.64;15;4.7;0;6;1 - Celesc;
ATA02;107277;9332;397537.21;7015621.27;10;2.6;0;6;1 - Celesc;
ATA02;107282;8801;394543.25;7002797.38;5;0;0;6;1 - Celesc;
ATA02;107279;9993;400316.39;7012790.82;15;2.8;0;6;1 - Celesc;
ATA02;107280;9339;398217.61;7011116.65;10;1.3;0;6;1 - Celesc;
ATA02;107281;9340;397970.06;7010481.1;10;1.1;0;6;1 - Celesc;
ATA02;107283;8800;395718.64;7002671.34;30;0.7;0;21;1 - Celesc;
ATA02;107436;7185;397041.96;7003181.28;30;3.9;0;21;1 - Celesc;
ATA02;107433;9020;386770.31;7000659.86;10;1.8;0;6;1 - Celesc;
ATA02;107434;7183;395460.81;7002013.46;10;0;0;6;1 - Celesc;
ATA02;107435;8105;396870.345430645;7002905.80772881;45;6;0;21;1 - Celesc;
ATA02;107437;9505;397443.77;7003387.54;30;13.6;25000;21;1 - Celesc;
ATA02;107438;7186;397598.51;7003725.55;30;4.6;0;21;1 - Celesc;
ATA02;107443;8959;397432.08;6998959.72;30;0.6;25000;21;1 - Celesc;
ATA02;107440;7187;398399.92;7004997.75;45;8.5;0;21;1 - Celesc;
ATA02;107441;8540;398786.87;7005517.75;15;7.8;0;21;1 - Celesc;
ATA02;107442;5046;398458.85;7005812.66;10;0.6;0;6;1 - Celesc;
ATA02;107444;8960;397658.2;6999398.87;30;7.4;0;21;1 - Celesc;
ATA02;107445;8962;398151.63;6998341.36;30;7.4;15000;22;1 - Celesc;
ATA02;107446;9992;398619.87;6998650.16;30;3.2;0;21;1 - Celesc;
ATA02;107447;8964;398595.94;6999680.74;30;8.6;0;21;1 - Celesc;
ATA02;107448;7188;397868.85;7005731.69;10;0;0;6;1 - Celesc;
ATA02;107449;7189;398133.9;7006338.26;10;2;0;6;1 - Celesc;
ATA02;107450;7190;398753.64;7006332.85;10;2.6;0;6;1 - Celesc;
ATA02;107451;7192;399497.955667846;7005805.50110691;10;0.2;0;6;1 - Celesc;
ATA02;107452;11545;399607.21;7006321.74;10;1.1;0;6;1 - Celesc;
ATA02;107453;7191;399790.32;7006558.42;10;2.3;0;6;1 - Celesc;
ATA02;107454;8635;398734.82;7011160.92;10;1.6;0;6;1 - Celesc;
ATA02;107455;8636;398398.73;7011452.71;5;2.6;0;6;1 - Celesc;
ATA02;107456;8637;399001.79;7012403.97;10;0;0;6;1 - Celesc;
ATA02;107457;9696;399060.85;7012978.01;10;3.3;0;6;1 - Celesc;
ATA02;107458;8639;399021.45;7013679.97;15;5.1;0;6;1 - Celesc;
ATA02;107460;9331;396723.96;7016975.61;10;0;0;6;1 - Celesc;
ATA02;107461;9789;398427.32;7016223.02;10;0;0;6;1 - Celesc;
ATA02;107463;10253;400277.77;7013215.06;5;0;0;6;1 - Celesc;
ATA02;107464;9523;401137.22;7013239.05;10;0.4;0;6;1 - Celesc;
ATA02;107465;9524;401491.95;7013282.31;10;1.2;0;6;1 - Celesc;
ATA02;107466;8965;398647.73;7000154.04;25;3.6;0;6;1 - Celesc;
ATA02;107467;8967;398972.33;6999337.54;10;0;0;6;1 - Celesc;
ATA02;107468;8968;400263.8;6999533.44;10;5.6;4200;6;1 - Celesc;
ATA02;107469;8969;400981.42;6999363.78;10;0.1;0;6;1 - Celesc;
ATA02;107470;8970;399452.44;7000073.84;10;2.3;0;6;1 - Celesc;
ATA02;107471;8971;399955.25;7000701.67;10;3.4;0;6;1 - Celesc;
ATA02;107472;9787;400544.86;7000735.51;10;0;0;6;1 - Celesc;
ATA02;107473;10123;400887.33;7001093.67;10;1.5;0;6;1 - Celesc;
ATA02;107474;7174;396145.87;6999684.42;5;0.6;0;6;1 - Celesc;
ATA02;107475;8810;396004.86;6999913.94;30;0.7;0;21;1 - Celesc;
ATA02;107476;7175;396205.75;7000256.43;30;3.4;0;21;1 - Celesc;
ATA02;107477;7176;395860.27;7000649.32;15;5.6;0;6;1 - Celesc;
ATA02;107478;8809;396202.23;7000797.78;10;9;0;6;1 - Celesc;
ATA02;107480;8589;396827.14;7000349.36;30;0.8;0;21;1 - Celesc;
ATA02;107481;7177;397157.88;7000807.6;10;1.8;0;6;1 - Celesc;
ATA02;107482;7180;396412.82;7001028.66;10;0.4;0;6;1 - Celesc;
ATA02;107483;7181;396222.86;7001347.81;10;2.7;5000;6;1 - Celesc;
ATA02;107485;7182;396912.32;7002279.03;30;14.3;0;21;1 - Celesc;
ATA02;108399;9079;389410.79;7001535.76;15;1.9;0;6;1 - Celesc;
ATA02;108397;6981;389672.76;7001903.61;30;4.1;0;21;1 - Celesc;
ATA02;108396;7844;389940.74;7002377.85;15;6.9;0;6;1 - Celesc;
ATA02;108398;9081;389665.85;7002247.31;15;8;0;6;1 - Celesc;
ATA02;108390;7717;390924.22;7001221.59;15;2.2;3960;7;1 - Celesc;
ATA02;108391;7718;390963.14;7001886.8;10;0.8;0;6;1 - Celesc;
ATA02;108400;9080;388874.1;7001644.83;15;2.7;0;6;1 - Celesc;
ATA02;108401;11516;388689.37;7001891.16;10;1.5;0;6;1 - Celesc;
ATA02;108402;8549;389228.66;7001289.63;10;0.8;0;6;1 - Celesc;
ATA02;108403;6980;389317.74;7000848.6;30;5;0;21;1 - Celesc;
ATA02;108410;8547;389104.61;7000127.83;15;1.4;0;6;1 - Celesc;
ATA02;108411;7315;389141.98;6998923.22;25;2.8;0;6;1 - Celesc;
ATA02;108412;6979;389256.5;6999766;10;0.5;0;6;1 - Celesc;
ATA02;108413;9744;390023.66;7000020.91;25;3.8;15000;6;1 - Celesc;
ATA02;108414;6976;388978.98;6998925.71;45;18.4;55000;21;1 - Celesc;
ATA02;108415;7314;388684.89;6998280.99;10;3.4;0;6;1 - Celesc;
ATA02;108019;9018;387095.17;6998925.77;10;1.9;0;6;1 - Celesc;
ATA02;108016;7881;387416.56;6998191.83;10;2.9;0;6;1 - Celesc;
ATA02;108017;7882;387685.87;6998097.14;45;1.5;0;21;1 - Celesc;
ATA02;108018;9017;387288.37;6998567.95;15;3.7;7360;6;1 - Celesc;
ATA02;108020;9019;386818.08;6999597.53;10;3.3;0;6;1 - Celesc;
ATA02;108021;7243;387120.65;7000243.46;10;3.7;0;6;1 - Celesc;
ATA02;108022;7244;387947.46;7000705.28;15;6.8;0;6;1 - Celesc;
ATA02;108023;9021;387292.59;7001256.88;15;0.8;0;6;1 - Celesc;
ATA02;108024;9022;387467.78;7001796.72;15;2.7;6000;6;1 - Celesc;
ATA02;108025;11884;388370.54;7002199.57;10;1.9;0;6;1 - Celesc;
ATA02;108026;9024;387575.4;7002511.13;10;1.3;0;6;1 - Celesc;
ATA02;108027;9023;387347.78;7002312.14;15;2.9;0;6;1 - Celesc;
ATA02;108028;6974;388179.89;6997602.33;75;12.2;49840;21;1 - Celesc;
ATA02;108229;8807;391753.78;7004003.2;30;8.3;10000;21;1 - Celesc;
ATA02;108224;7083;390584.93;7002661.67;30;6.2;24120;21;1 - Celesc;
ATA02;108227;8806;390845.83;7002876.88;37.5;11.8;30000;6;1 - Celesc;
ATA02;108228;11880;391824.464922996;7003520.90878791;15;3;0;6;1 - Celesc;
ATA02;108246;8808;391561.67;7003092.93;15;3.3;0;6;1 - Celesc;
ATA02;108247;11371;391960.57;7002939.24;15;5.1;0;21;1 - Celesc;
ATA02;108248;7349;391964.64;7001749.23;30;4.9;0;21;1 - Celesc;
ATA02;108249;7166;391733.56;7002334.43;10;0.2;0;6;1 - Celesc;
ATA02;108250;7167;391595.43;7001062.84;10;3.9;0;6;1 - Celesc;
ATA02;108251;7168;391052.73;7000885.92;10;0.2;0;6;1 - Celesc;
ATA02;108311;10036;387597.06;7003785.35;75;35.1;0;21;1 - Celesc;
ATA02;109384;11427;392278.49;7004624.8;10;5.7;0;6;1 - Celesc;
