Data de Emissão:;03/jan/2023
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Chave Fusível.Identificador do Objeto;Chave Fusível.Número Operacional;Chave Fusível.Coordenada X;Chave Fusível.Coordenada Y;Chave Fusível.Rotação
ATA02;60317;80205;396187.32;6994867.97;106.2;
ATA02;146140;76409;390905.15;7003497.89;227.4;
ATA02;29082;7169;393108.41;7001222.89;256;
ATA02;29470;7188;397842.29;7005696.08;53.3;
ATA02;31261;4884;397893.92;7004073.47;187;
ATA02;156342;4249;394329.03;6994745.9;118.5;
ATA02;168346;80347;385670.83;6999963.05;168.8;
ATA02;32549;4989;394302.16;6993160.37;323.5;
ATA02;50687;4286;389294.25;7000794.36;66.6;
ATA02;51964;7155;392936.08;7011513.76;143.9;
ATA02;61897;729;393537.21;7012345.28;54.3;
ATA02;239443;76419;395862.34;6996695.06;66.1;
ATA02;26452;3909;393194.46;7007490.2;179.6;
ATA02;29450;4188;399461.92;7008709.11;99.8;
ATA02;29474;4227;399274.34;6999779.48;331.8;
ATA02;31751;4247;395114.3;6994348.04;126.2;
ATA02;80536;4245;396739.98;6994218.51;99;
ATA02;312048;82069;399089.93;7012910.67;20.7;
ATA02;168450;3847;387336.911115956;6998209.77147836;24.9;
ATA02;29482;3798;396006.6;6999730.68;341.6;
ATA02;59293;3670;391928.76;7001706.99;220.1;
ATA02;92078;80292;394839.66;6995356.5;86.7;
ATA02;103222;9044;396662.9;6994512.28;65;
ATA02;342987;82084;395317.35;6998870.16;313.8;
ATA02;28670;4129;391152.01;7003127.46;68.9;
ATA02;29491;3067;401552.21;6999761.24;248.3;
ATA02;305950;76453;398537.930066917;7009275.73710336;24.8;
ATA02;32514;613;393026.95;7011495.38;168.6;
ATA02;307953;82020;397694.632888225;7014704.67998087;109;
ATA02;294051;80493;395472.19;7006905.25;261.7;
ATA02;328950;80529;397618.45;7003768.8;112.4;
ATA02;49167;4186;393677.4;7008144.33;317.5;
ATA02;142148;76406;385678.597525594;7000471.54458284;69.4;
ATA02;29444;4246;396658.91;6993915.12;137.8;
ATA02;29476;7181;396336.65;7001360.88;169.2;
ATA02;61653;80168;394069.02;7011663.99;234.5;
ATA02;160641;82009;390962.44;6998121.76;76.6;
ATA02;236853;80411;392636.709401168;7012225.56316467;316.4;
ATA02;29429;3481;393247.36;7009273.76;171.7;
ATA02;33014;3853;394446.44;7002139.9;88.2;
ATA02;1665;4128;391152.01;7003127.46;277.5;
ATA02;28943;4254;389517.97;7001580.03;145.6;
ATA02;29478;7194;398107.92;7002514.12;302;
ATA02;29080;7172;394412.31;6999702.14;240.6;
ATA02;28919;7844;389980.89;7002336.74;134.3;
ATA02;28938;4127;391955.83;7002584.04;231.5;
ATA02;52947;4073;393550.21;7008031.27;335.9;
ATA02;253948;80434;386694.59254026;7001965.99528994;76;
ATA02;26997;740;401236.25;7003203.92;273.7;
ATA02;29442;4412;394242.87;6998188.67;119.8;
ATA02;32085;4881;389632.49;7001810.04;338;
ATA02;256749;3632;400607.24;7004220.39;98.3;
ATA02;28944;9079;389427.76;7001641.94;260.9;
ATA02;29029;7107;390770.79;7005897.26;213.7;
ATA02;29031;4326;391331.05;7006953.58;294.1;
ATA02;29090;4082;396295.13;7012371.19;224;
ATA02;29471;7185;397187.509850934;7003039.70119343;141.1;
ATA02;29472;3932;397079.25;7002780.38;166.5;
ATA02;47534;76237;393272.99;7007994.96;133.3;
ATA02;56755;4994;400050.98;7008959.09;73.8;
ATA02;50591;3629;389044.37;6999089.51;128.7;
ATA02;61639;80089;397646.34;7003813.05;126.3;
ATA02;29040;4359;395417.49;7013859.78;86.1;
ATA02;29453;4268;395583.05;6997162;191.1;
ATA02;29473;3799;395981.93;7002536.8;225.1;
ATA02;63196;80188;390462.95;7002910.39;302.9;
ATA02;262456;80381;395142.07;7017318.12;245;
ATA02;338945;80554;393326.94;7000924.94;250.8;
ATA02;328943;80548;392096.768262575;6994026.14972216;186.7;

 ; ; ; ; ; ;
 ; ; ; ; ; ;
