Data de Emissão:;02/jan/2023
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Trecho Primário Aéreo.Identificador do Objeto;Rep. Grafica: Trecho Primário Aéreo.Linha;Rep. Grafica: Trecho Primário Aéreo.Rotação;Trecho Primário Aéreo.Comprimento Estimado;Trecho Primário Aéreo.Quantidade de Cabos por Fase;Trecho Primário Aéreo.Fases Existentes;Tipo de Cabo.Código de cabo;Tipo de Cabo.Reatância Positiva;Tipo de Cabo.Reatância Zero;Tipo de Cabo.Resistência Positiva;Tipo de Cabo.Resistência Zero
PAA01;91022;LINESTRING (573652.62 6964350.19, 573704.73 6964279.63);0;87.7163935651264;1 - 1;2 - S;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91023;LINESTRING (572960.44 6964324.72, 573014.85 6964333.74);0;55.1525928674221;1 - 1;2 - S;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91024;LINESTRING (572429.63 6964067.61, 572471.1 6964143);0;86.0430880428354;1 - 1;2 - S;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91025;LINESTRING (559974.09 6963036.52, 559905.85 6963110.41);0;100.580463809265;1 - 1;12 - SRT;1/0 CAA;0.52;1.978;0.7;0.874;
PAA01;91026;LINESTRING (560063.83 6962937.38, 559999.54 6963010.54);0;97.3939921145633;1 - 1;12 - SRT;1/0 CAA;0.52;1.978;0.7;0.874;
PAA01;91028;LINESTRING (555475.18 6971704.5, 555415.68 6971645.41);0;83.856294337291;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91029;LINESTRING (556258.05 6971544.98, 556279.88 6971672.92);0;129.789030737827;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91030;LINESTRING (561593.25 6974334.08, 561624.27 6974321.14);0;33.6107720829463;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91031;LINESTRING (561509.96 6974373.36, 561593.25 6974334.08);0;92.0876891882226;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91058;LINESTRING (560581.98 6959998.33, 560535.02 6959984.3);0;49.0110446736633;1 - 1;2 - S;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91059;LINESTRING (560535.02 6959984.3, 560454.19 6959959.02);0;84.6910107390767;1 - 1;2 - S;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91062;LINESTRING (572385.96 6969813.52, 572517.83 6969708.5);0;168.579053562134;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91063;LINESTRING (570793.3 6968711.54, 570817.21 6968764.12);0;57.7610985006676;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91064;LINESTRING (569757.27 6967672.17, 569681.58 6967657.33);0;77.1310683188347;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91065;LINESTRING (570104.63 6965229.74, 570126.23 6965350.07);0;122.253298115089;1 - 1;14 - TRS;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91068;LINESTRING (556303.02 6970901.13, 556288.16 6971008.33);0;108.225041464716;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91069;LINESTRING (557287.01 6968358.87, 557264.19 6968410.54);0;56.4848767369635;1 - 1;12 - SRT;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91096;LINESTRING (561234.22 6959396.98, 561212.46 6959375.42);0;30.6321922170597;1 - 1;14 - TRS;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91099;LINESTRING (557743.28 6967488.55, 557663.61 6967471.79);0;81.4137979706093;1 - 1;12 - SRT;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91100;LINESTRING (559756.33 6964034.8, 559750.03 6964171.92);0;137.264650948559;1 - 1;12 - SRT;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91133;LINESTRING (561843.927477225 6959694.9371059, 561872.02 6959702.28);0;29.0363208694367;1 - 1;12 - SRT;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91134;LINESTRING (567495.4 6966340.29, 567821.55 6966166.08);0;369.760661239135;1 - 1;1 - R;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;91179;LINESTRING (562132.9 6960177.41, 562128.46 6960158.66);0;19.2685261501895;1 - 1;12 - SRT;4/0 CA;0.424;1.882;0.297;0.476;
PAA01;91211;LINESTRING (557356.82 6968425.25, 557654.31 6968640.32);0;367.090458879174;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91215;LINESTRING (559472.63 6969447.9, 559561.25 6969425.67);0;91.3656242796986;1 - 1;1 - R;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;91216;LINESTRING (559193.61 6969079.61, 559338.7 6969004.77);0;163.254812180656;1 - 1;1 - R;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;91217;LINESTRING (558226.19 6969271.46, 558105.34 6969300.44);0;124.276155798481;1 - 1;1 - R;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;91234;LINESTRING (560394.98 6960133.62, 560382.27 6960152.63);0;22.8675359405108;1 - 1;12 - SRT;2 CA;0.468;1.926;0.948;1.137;
PAA01;91235;LINESTRING (560749.44 6960062.14, 560707.06 6960078.75);0;45.518748884515;1 - 1;12 - SRT;4 CA;0.486;1.943;1.504;1.703;
PAA01;91236;LINESTRING (560739.37 6960040.35, 560749.44 6960062.14);0;24.0043537718252;1 - 1;12 - SRT;4 CA;0.486;1.943;1.504;1.703;
PAA01;91238;LINESTRING (555360.25 6971006.29, 555526.07 6970880.19);0;208.32062403883;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91239;LINESTRING (555370.2 6971015.1, 555360.25 6971006.29);0;13.2897930755845;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91240;LINESTRING (558237.17 6966762.4, 558222.55 6966851.22);0;90.0152031597294;1 - 1;12 - SRT;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91264;LINESTRING (582634.03 6970488.93, 582655 6970433.55);0;59.2172719735252;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91265;LINESTRING (581892.38 6971084.01, 581976.95 6971126.02);0;94.4294710352242;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91266;LINESTRING (581495.16 6971131.37, 581660.21 6971244);0;199.817465202499;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91267;LINESTRING (580613.42 6973563.48, 580755.14 6974248.04);0;699.075784160366;1 - 1;1 - R;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;91268;LINESTRING (554792.6 6972481.61, 554712.63 6972475.47);0;80.2053645338194;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91269;LINESTRING (556442.06 6971927.33, 556374.57 6971815.25);0;130.831290217652;1 - 1;3 - T;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;91289;LINESTRING (571148.03 6963048.83, 571211.83 6963011.95);0;73.692431090193;1 - 1;2 - S;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91290;LINESTRING (571000.93 6963085.26, 571036.6 6963112.91);0;45.1317116894018;1 - 1;2 - S;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91291;LINESTRING (567649.93 6961836.37, 567944.270873475 6961964.78142777);0;321.132440871177;1 - 1;14 - TRS;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91292;LINESTRING (567127.82 6961212.19, 567143.23 6961225.73);0;20.5134029356035;1 - 1;14 - TRS;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91293;LINESTRING (565278.59 6961425.24, 565285.35 6961480.2);0;55.3741744859102;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91294;LINESTRING (564802.37 6961239.56, 564797.12 6961206.19);0;33.7804588483854;1 - 1;1 - R;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;91295;LINESTRING (567376.23 6961640.62, 567432.35 6961742.55);0;116.357979098722;1 - 1;14 - TRS;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91296;LINESTRING (566911.03 6960949.5, 566940.248299343 6960869.67433402);0;85.004976122532;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91297;LINESTRING (565295.79 6962366.98, 565297.47 6962579.95);0;212.97662618205;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91298;LINESTRING (564653.54 6961321.71, 564546.02 6961276.98);0;116.453094849217;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91299;LINESTRING (574528.07 6970062.76, 574591.63 6970088.08);0;68.4176585393522;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91300;LINESTRING (580155.4 6972550.89, 580435.18 6972842.5);0;404.120329234018;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91303;LINESTRING (582796.62 6970353.67, 582914.89 6970296.91);0;131.184947688289;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91306;LINESTRING (561129.11 6968435.11, 561247.68 6968441.1);0;118.721207035672;1 - 1;1 - R;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;91334;LINESTRING (561243.01 6959830.71, 561207.46 6959826.16);0;35.8399916294859;1 - 1;12 - SRT;4/0 CA;0.424;1.882;0.297;0.476;
PAA01;91335;LINESTRING (561228.01 6959701.57, 561241.36 6959679.04);0;26.1882301809635;1 - 1;14 - TRS;1/0 CA;0.451;1.917;0.605;0.779;
PAA01;91336;LINESTRING (563008.89 6960455.98, 563025.96 6960406.47);0;52.3700773349471;1 - 1;2 - S;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91338;LINESTRING (575633.21 6969783.29, 575749.15 6969765.45);0;117.304514832161;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91339;LINESTRING (560449.31 6962298.72, 560472.08 6962360.99);0;66.3025323804141;1 - 1;12 - SRT;4 CA;0.486;1.943;1.504;1.703;
PAA01;91343;LINESTRING (556603.81 6971983.26, 556722.47 6971986.82);0;118.71339098848;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91347;LINESTRING (560266.76 6968459.39, 560506.61 6968311.82);0;281.611305525545;1 - 1;1 - R;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;91348;LINESTRING (560096.02 6968152.19, 559804.36 6967678.12);0;556.603917072366;1 - 1;1 - R;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;91386;LINESTRING (560391.29 6959924.53, 560337.95 6959896.8);0;60.1174558678369;1 - 1;2 - S;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91387;LINESTRING (560560.65 6960030.12, 560515.38 6960093.96);0;78.2618585262493;1 - 1;12 - SRT;4 CA;0.486;1.943;1.504;1.703;
PAA01;91388;LINESTRING (573509.291315742 6965175.15631081, 573504.93 6965211.5);0;36.604437148482;1 - 1;2 - S;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91390;LINESTRING (557709.91 6972179.61, 557772.76 6972159.88);0;65.8740874700721;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91393;LINESTRING (558239.64 6972303.91, 558308.46 6972248.95);0;88.0726631821069;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91394;LINESTRING (559420.45 6972821.3, 559659.07 6972628.2);0;306.964353630603;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91395;LINESTRING (562023.5 6972223.17, 562445.93 6972586.76);0;557.355176705066;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91434;LINESTRING (561602.94 6961286.49, 561782.93 6961203.3);0;198.285088193905;1 - 1;12 - SRT;4 CA;0.486;1.943;1.504;1.703;
PAA01;91435;LINESTRING (561890.56 6972176.51, 561974.2 6972066.3);0;138.354232678275;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91436;LINESTRING (561974.2 6972066.3, 562006.68 6971998.18);0;75.4671107172788;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91437;LINESTRING (561480.94 6972000.2, 561780.41 6972140.12);0;330.544834024013;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91438;LINESTRING (559074.64 6972950.88, 559242.67 6972942.51);0;168.238336297086;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91439;LINESTRING (558124.65 6972293.72, 558085.48 6972384.06);0;98.4662607198254;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91501;LINESTRING (561800.58 6962097.14, 561818.55 6962133.36);0;40.4327750723563;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;91503;LINESTRING (560240 6962396.59, 560206.38 6962454.09);0;66.6074650470928;1 - 1;12 - SRT;1/0 CAA;0.52;1.978;0.7;0.874;
PAA01;91529;LINESTRING (561094.4 6961139.35, 561119.03 6961142.37);0;24.814457479525;1 - 1;12 - SRT;2 CA;0.468;1.926;0.948;1.137;
PAA01;91530;LINESTRING (561044.02 6961033.27, 561031.57 6961073.2);0;41.8259178028339;1 - 1;12 - SRT;1/0 CAA;0.52;1.978;0.7;0.874;
PAA01;90881;LINESTRING (561001.4 6960027.08, 561005.5 6960066.5);0;39.632643111379;1 - 1;12 - SRT;1/0 CA;0.451;1.917;0.605;0.779;
PAA01;90930;LINESTRING (572286.95 6971635.34, 572245.72 6971677.79);0;59.1769837016376;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;90931;LINESTRING (571859.64 6969683.4, 571930.75 6969845.52);0;177.029733377566;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;90932;LINESTRING (570669.637668799 6967787.24417415, 570667.44 6967851.68);0;64.473292153468;1 - 1;14 - TRS;4 CAA;0.522;1.979;1.598;1.772;
PAA01;90933;LINESTRING (570586.51 6966821.92, 570595.79 6966850.49);0;30.0393625101723;1 - 1;14 - TRS;4 CAA;0.522;1.979;1.598;1.772;
PAA01;90966;LINESTRING (561903.02 6962880.32, 561966.92 6962965.74);0;106.676081667777;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;90968;LINESTRING (575433.06 6972000.43, 575472.26 6972009.77);0;40.2973398624967;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;90978;LINESTRING (559813.16 6964336.24, 559840.48 6964434.27);0;101.765727530764;1 - 1;12 - SRT;4 CAA;0.522;1.979;1.598;1.772;
PAA01;92928;LINESTRING (557535.21 6973157.12, 557139.7 6973217.56);0;400.101429265201;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;92937;LINESTRING (561571.93 6959852.91, 561582.03 6959824.9);0;29.77532703409;1 - 1;12 - SRT;4 CA;0.486;1.943;1.504;1.703;
PAA01;92954;LINESTRING (561314.740634095 6959424.31641228, 561307.25 6959422.41);0;7.72942474753074;1 - 1;14 - TRS;4 CAA;0.522;1.979;1.598;1.772;
PAA01;92967;LINESTRING (567034.02 6960743.63, 567102.16 6960634.58);0;128.588343561776;1 - 1;14 - TRS;4 CAA;0.522;1.979;1.598;1.772;
PAA01;92994;LINESTRING (566754.3 6959134.82, 566677.2 6959008);0;148.417392512037;1 - 1;12 - SRT;4 CAA;0.522;1.979;1.598;1.772;
PAA01;93124;LINESTRING (558299.73 6972989.65, 558253.93 6973038.53);0;66.9842847239759;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;93339;LINESTRING (558212.79 6965054.92, 558101.54 6964954.72);0;149.72175025706;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;93386;LINESTRING (561343.84 6968453.97, 561361.21 6968255.62);0;199.109114306332;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;93396;LINESTRING (561195.18 6968924.43, 561094.26 6968870.21);0;114.562885787589;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;93397;LINESTRING (561227.3 6968962.66, 561358.02 6969104.8);0;193.110067059947;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;93483;LINESTRING (560490.92 6973931.53, 560547.17 6973965.23);0;65.5724980461516;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;93484;LINESTRING (559542.12 6973078.26, 559573.12 6973026.29);0;60.5134770110997;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
PAA01;93525;LINESTRING (584229.27 6964717.24, 584308.66 6964628.48);0;119.084464561766;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;93577;LINESTRING (561193.69 6961604.87, 561194.97 6961638.55);0;33.7043142636028;1 - 1;14 - TRS;4 CA;0.486;1.943;1.504;1.703;
PAA01;92203;LINESTRING (582459.72 6964648.93, 582599.7 6964714.89);0;154.742114500295;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;92204;LINESTRING (581808.06 6964538.01, 581399 6964499.05);0;410.911140272496;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;92206;LINESTRING (579729.19 6964162.02, 579532.04 6964056.26);0;223.725948651384;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;92258;LINESTRING (577142.89 6964484.11, 577184.12 6964438.18);0;61.7209672644284;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;92409;LINESTRING (566170.98 6967631.99, 566193.11 6967781.18);0;150.822388921024;1 - 1;1 - R;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;92410;LINESTRING (582439.87 6964607.32, 582459.72 6964648.93);0;46.1022190349822;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;92450;LINESTRING (562590.28 6969497.68, 562855.04 6969524.18);0;266.082896105715;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;92451;LINESTRING (562396.35 6969439.41, 563189.35 6968858.64);0;982.92562938432;1 - 1;1 - R;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;92496;LINESTRING (562317.5 6969451.32, 562396.35 6969439.41);0;79.7444079544132;1 - 1;1 - R;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;92505;LINESTRING (573504.93 6965211.5, 573073.78 6965599.8);0;580.230309876928;1 - 1;2 - S;4 CAA;0.522;1.979;1.598;1.772;
PAA01;92725;LINESTRING (575378.04 6966110.83, 575307.68 6965925.53);0;198.208525548042;1 - 1;1 - R;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;92727;LINESTRING (576851.37 6964858.57, 576896.2 6964796.86);0;76.2748516878406;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;92762;LINESTRING (575464.21 6969123.45, 575245.29 6968669.19);0;504.259966683619;1 - 1;1 - R;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;92801;LINESTRING (560832.25 6959575.35, 560809.49 6959597.58);0;31.8149414586967;1 - 1;12 - SRT;4 CAA;0.522;1.979;1.598;1.772;
PAA01;92802;LINESTRING (560861.39 6959552.23, 560858.23 6959549.21);0;4.37104106628285;1 - 1;12 - SRT;4 CAA;0.522;1.979;1.598;1.772;
PAA01;92814;LINESTRING (561547.46 6959838.84, 561510.05 6959817.57);0;43.0339517122784;1 - 1;12 - SRT;4/0 CA;0.424;1.882;0.297;0.476;
PAA01;92879;LINESTRING (561291.32 6961409.87, 561324.09 6961408.29);0;32.8080676052983;1 - 1;12 - SRT;4 CA;0.486;1.943;1.504;1.703;
PAA01;92898;LINESTRING (561504.97 6961211.09, 561507.56 6961208.99);0;3.33438150169856;1 - 1;12 - SRT;4 CA;0.486;1.943;1.504;1.703;
PAA01;92899;LINESTRING (561507.56 6961208.99, 561504.15 6961201.3);0;8.41214598105173;1 - 1;12 - SRT;4 CA;0.486;1.943;1.504;1.703;
PAA01;92900;LINESTRING (561553.34 6961309.04, 561538.24 6961315.67);0;16.4914189807249;1 - 1;12 - SRT;4 CA;0.486;1.943;1.504;1.703;
PAA01;95035;LINESTRING (558732.67 6968767.67, 558854.04 6968888.96);0;171.586540847492;1 - 1;1 - R;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;95405;LINESTRING (566858.13 6969721.55, 567284.02 6969836.51);0;441.132739320041;1 - 1;1 - R;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;95517;LINESTRING (572681.31 6971501.18, 572841.33 6971417.53);0;180.565010176045;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;94050;LINESTRING (559801.06 6968745.89, 559832.19 6968725.18);0;37.3895841110696;1 - 1;1 - R;4.8 mm2-HS-ACO;0.9882;0.9882;13.8418;13.901;
PAA01;94088;LINESTRING (560996.89 6965706.84, 561029.76 6965873.61);0;169.978439221453;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
