Data de Emissão:;02/jan/2023
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Transformador de Distribuição Aéreo.Identificador do Objeto;Transformador de Distribuição Aéreo.Número Operacional;Transformador de Distribuição Aéreo.Coordenada X;Transformador de Distribuição Aéreo.Coordenada Y;Transformador de Distribuição Aéreo.Potência Nominal (kVA);Transformador de Distribuição Aéreo.Demanda Total (kVA);Transformador de Distribuição Aéreo.Potência instalada GD total (W);Transformador de Distribuição Aéreo.Tensão do TAP ajustado (kV);Transformador de Distribuição Aéreo.Proprietário
PAA01;145204;15846;572058.08;6971967.23;10;0.7;0;6;1 - Celesc;
PAA01;145205;10290;572293.46;6972169;15;2.1;0;6;1 - Celesc;
PAA01;145206;13111;573180.39;6971944.26;15;3;0;6;1 - Celesc;
PAA01;145207;14299;573797.43;6971950.13;10;0;0;6;1 - Celesc;
PAA01;145208;15212;575093.07;6971435.35;10;0.4;0;6;1 - Celesc;
PAA01;145209;14581;575467.98;6971766.36;10;0.8;0;6;1 - Celesc;
PAA01;145210;15288;575433.06;6972000.43;15;0.8;0;6;1 - Celesc;
PAA01;145211;13113;575637.62;6972145.61;10;0.2;0;6;1 - Celesc;
PAA01;145218;16947;572832.78;6970621.33;10;1.7;0;6;1 - Celesc;
PAA01;145219;13114;573426.36;6969887.15;10;1.4;0;6;1 - Celesc;
PAA01;145220;13115;574591.63;6970088.08;10;0.7;0;6;1 - Celesc;
PAA01;145221;13116;574941.6;6969794.32;5;2;0;6;1 - Celesc;
PAA01;145222;13117;575633.21;6969783.29;10;1.2;0;6;1 - Celesc;
PAA01;145223;13118;576024.32;6970034.3;15;0.3;0;6;1 - Celesc;
PAA01;145224;13119;576691.81;6970241.36;10;0;0;6;1 - Celesc;
PAA01;144836;11220;561872.02;6959702.28;45;56.3;0;21;1 - Celesc;
PAA01;144833;12197;562015.95;6960111.99;45;6.6;0;21;1 - Celesc;
PAA01;144834;12198;561696.07;6959924.85;45;48.9;0;21;1 - Celesc;
PAA01;144835;12200;561687.63;6959558.01;45;40.7;0;21;1 - Celesc;
PAA01;144837;13311;561241.36;6959679.04;45;60.9;0;21;1 - Celesc;
PAA01;144838;8993;561308.93;6959445.15;30;21.6;0;21;1 - Celesc;
PAA01;144839;13310;561212.46;6959375.42;30;42.6;0;21;1 - Celesc;
PAA01;144840;12139;561438.31;6959690.28;30;13.4;0;21;1 - Celesc;
PAA01;144841;12142;561539.4;6959439.36;45;49.1;0;21;1 - Celesc;
PAA01;144842;12172;561586.17;6959052.25;30;7.1;0;21;1 - Celesc;
PAA01;144843;12171;561369.49;6959212.72;75;30.5;0;21;1 - Celesc;
PAA01;144844;12106;560279.161058824;6960262.63463954;30;13.1;0;21;1 - Celesc;
PAA01;144845;13315;560337.95;6959896.8;15;5.4;0;6;1 - Celesc;
PAA01;144847;12110;561125.67;6960581.43;30;9.9;0;21;1 - Celesc;
PAA01;144848;13316;561115.98;6961019.57;45;9.9;0;21;1 - Celesc;
PAA01;144849;12112;561180.62;6961189.63;45;53.8;0;21;1 - Celesc;
PAA01;144850;13317;561347.23;6961198.18;45;58.1;0;21;1 - Celesc;
PAA01;145001;14614;561408.48;6960964.99;30;29;0;21;1 - Celesc;
PAA01;145002;13319;561189.14;6961451.54;30;51.6;23540;21;1 - Celesc;
PAA01;145003;13318;561030.28;6961564.43;30;30.4;0;21;1 - Celesc;
PAA01;145591;12117;560206.38;6962454.09;5;1.4;0;6;1 - Celesc;
PAA01;145589;21873;559736.66;6963852.45;45;0;0;21;1 - Celesc;
PAA01;145590;20751;560172.79;6962203.14;15;1.8;12000;6;1 - Celesc;
PAA01;145592;12118;560101.43;6963023.82;10;0.5;0;6;1 - Celesc;
PAA01;145593;12119;559661.69;6962923.63;10;0.5;0;6;1 - Celesc;
PAA01;145594;12201;559027.37;6963777.43;10;2.2;0;6;1 - Celesc;
PAA01;145595;14922;557784.56;6964132.77;10;0.3;0;6;1 - Celesc;
PAA01;145596;12202;557967.41;6962925.6;10;2.5;0;6;1 - Celesc;
PAA01;145597;12132;557785.2;6964669.38;10;0.7;0;6;1 - Celesc;
PAA01;145598;12728;556183.51;6964002.99;10;1.3;0;6;1 - Celesc;
PAA01;145599;12729;554586.12;6961832.28;10;3.6;0;6;1 - Celesc;
PAA01;145600;15293;552889.16;6965483.46;15;0;0;6;1 - Celesc;
PAA01;145601;14836;554284.18;6966529.11;10;1.6;0;6;1 - Celesc;
PAA01;145602;12131;555834.57;6965484.85;10;3.3;0;6;1 - Celesc;
PAA01;145603;12134;558376.97;6965399.25;5;1.2;0;6;1 - Celesc;
PAA01;145604;12135;558406.7;6965709.69;10;0.5;0;6;1 - Celesc;
PAA01;145605;12133;558349.27;6966043.46;10;14;0;6;1 - Celesc;
PAA01;145606;12130;558146.82;6966324.96;10;2.5;0;6;1 - Celesc;
PAA01;145607;12129;557490.28;6967504.7;10;2.6;0;6;1 - Celesc;
PAA01;145608;12128;557214.66;6968323.65;15;2.5;0;6;1 - Celesc;
PAA01;145609;12149;557204.98;6967937.63;10;2;0;6;1 - Celesc;
PAA01;145610;10420;556476.62;6967709.07;10;3.2;0;6;1 - Celesc;
PAA01;145611;13956;557654.31;6968640.32;10;1.3;0;6;1 - Celesc;
PAA01;145612;12126;556639.31;6969859.54;10;4.5;0;6;1 - Celesc;
PAA01;145613;9928;556351.08;6970393.81;10;0.8;0;6;1 - Celesc;
PAA01;145614;12125;556464.09;6970834.48;37.5;11.8;0;6;1 - Celesc;
PAA01;145617;12152;556233.35;6971397.28;15;5.3;0;6;1 - Celesc;
PAA01;145618;13728;555665.45;6971341.22;15;3;0;6;1 - Celesc;
PAA01;145619;12121;555370.2;6971015.1;25;16.4;0;6;1 - Celesc;
PAA01;145760;15623;555221.78;6972425.87;10;0;0;6;1 - Celesc;
PAA01;145994;12814;558105.34;6969300.44;10;0.7;0;6;1 - Celesc;
PAA01;145995;6952;558862.7;6967711.87;10;0;0;6;1 - Celesc;
PAA01;145998;12390;561936.89;6969515.27;15;0.6;0;6;1 - Celesc;
PAA01;145758;17964;555691.21;6970947.14;10;0;0;6;1 - Celesc;
PAA01;145759;12153;555415.68;6971645.41;15;3.6;0;6;1 - Celesc;
PAA01;145769;12120;554712.63;6972475.47;15;5;0;6;1 - Celesc;
PAA01;145779;12150;555849.24;6973171.95;15;4.7;0;6;1 - Celesc;
PAA01;145780;17892;556096.57;6973054.03;10;2.4;0;6;1 - Celesc;
PAA01;145781;13841;556861.1;6972764.29;10;0.9;0;6;1 - Celesc;
PAA01;145782;12264;555953.518501785;6972378.65829745;15;3.3;0;6;1 - Celesc;
PAA01;145783;15743;555901.7;6972024.54;15;1.1;0;6;1 - Celesc;
PAA01;145784;10522;556374.57;6971815.25;25;6.2;0;6;1 - Celesc;
PAA01;145785;13795;556722.47;6971986.82;10;2;0;6;1 - Celesc;
PAA01;145786;12148;557118.37;6972115.07;10;4.5;0;6;1 - Celesc;
PAA01;145787;12147;557772.76;6972159.88;10;2.3;0;6;1 - Celesc;
PAA01;145788;12146;558308.46;6972248.95;15;3.9;0;6;1 - Celesc;
PAA01;145789;15615;558585.88;6971847.3;10;0.2;0;6;1 - Celesc;
PAA01;145790;12169;558562.91;6972885.69;15;10.4;0;6;1 - Celesc;
PAA01;145791;12170;559542.12;6973078.26;10;2;0;6;1 - Celesc;
PAA01;145974;12162;560906.83;6975606.13;10;1.3;0;6;1 - Celesc;
PAA01;145975;14280;561502.57;6975617.52;10;1.8;0;6;1 - Celesc;
PAA01;145976;12164;561182.91;6974941.46;10;0.7;0;6;1 - Celesc;
PAA01;145977;12163;561585.74;6975043.55;5;0;0;6;1 - Celesc;
PAA01;145978;12165;561593.25;6974334.08;10;0.2;0;6;1 - Celesc;
PAA01;145980;12166;560743.05;6974087.06;10;1.1;0;6;1 - Celesc;
PAA01;145981;12167;560199.7;6973765.92;10;0;0;6;1 - Celesc;
PAA01;145982;12168;559724.84;6973349.65;15;4.9;0; ;1 - Celesc;
PAA01;145990;15622;560011.3;6969328.44;10;0.4;0;6;1 - Celesc;
PAA01;145991;12262;559309.57;6969385.98;15;1.6;0;6;1 - Celesc;
PAA01;145992;12389;559338.7;6969004.77;10;1.9;0;6;1 - Celesc;
PAA01;145993;12388;558918.98;6969052.32;10;0.4;0;6;1 - Celesc;
PAA01;145379;15138;581009.65;6972566.89;10;0.5;0;6;1 - Celesc;
PAA01;145374;15098;580936.53;6971231.38;10;2.3;0;6;1 - Celesc;
PAA01;145375;15211;582204.82;6971094.84;15;2.3;0;6;1 - Celesc;
PAA01;145376;17250;582647.86;6970822.32;10;0.1;0;6;1 - Celesc;
PAA01;145380;15652;580377.69;6971949.97;10;0.1;0;6;1 - Celesc;
PAA01;145381;15184;579812.75;6972781.52;15;2.2;0;6;1 - Celesc;
PAA01;145382;14902;580626.94;6972924.07;10;0;0;6;1 - Celesc;
PAA01;145383;14903;580558.52;6973423.43;10;0.7;0;6;1 - Celesc;
PAA01;145384;14942;580832.44;6974457.08;10;0.8;0;6;1 - Celesc;
PAA01;145395;15744;560951.08;6961336.35;45;29.2;0;21;1 - Celesc;
PAA01;145396;12116;560472.08;6962360.99;15;1.9;5000;21;1 - Celesc;
PAA01;146564;14009;580009.77;6964284.25;10;2.6;0;6;1 - Celesc;
PAA01;146562;14011;581399;6964499.05;10;0;0;6;1 - Celesc;
PAA01;146560;14718;582599.7;6964714.89;10;0.5;0;6;1 - Celesc;
PAA01;146561;14010;582071.86;6964806.84;10;1.2;0;6;1 - Celesc;
PAA01;146563;19205;580016.76;6964924.71;15;6.9;0;6;1 - Celesc;
PAA01;146559;14719;583053.68;6963832.32;10;1.1;0;6;1 - Celesc;
PAA01;146709;13879;577184.12;6964438.18;10;0;0;6;1 - Celesc;
PAA01;146706;15625;579532.04;6964056.26;10;0.1;0;6;1 - Celesc;
PAA01;146707;17334;579471.4;6968092.77;10;0.1;0;6;1 - Celesc;
PAA01;146708;13880;579195.72;6964839.33;10;0.3;0;6;1 - Celesc;
PAA01;146187;13913;561239.49;6969408.93;10;1.3;0;6;1 - Celesc;
PAA01;146188;12266;561247.68;6968441.1;10;1.4;0;6;1 - Celesc;
PAA01;146189;12263;560790.1;6968031.5;10;0.7;0;6;1 - Celesc;
PAA01;146190;12265;560528.98;6968547.82;10;0;0;6;1 - Celesc;
PAA01;146191;7118;559804.36;6967678.12;10;0.4;0;6;1 - Celesc;
PAA01;146193;15276;557591.94;6968185.88;15;3.7;0;6;1 - Celesc;
PAA01;146194;14870;562753.27;6967842.78;10;0;0;6;1 - Celesc;
PAA01;146345;12260;562572.21;6969477.05;10;0.1;0;6;1 - Celesc;
PAA01;146748;15847;581088.7;6967392.19;10;0.7;0;6;1 - Celesc;
PAA01;146749;15855;581143.88;6967715.64;10;1.3;0;6;1 - Celesc;
PAA01;146750;15850;581689.09;6967916.13;10;0.4;0;6;1 - Celesc;
PAA01;146341;14869;563337.18;6967965.94;10;1.3;0;6;1 - Celesc;
PAA01;146342;14876;563307.79;6968696.21;10;0.5;0;6;1 - Celesc;
PAA01;146346;17041;562855.04;6969524.18;10;1.2;0;6;1 - Celesc;
PAA01;146347;12400;562338.23;6969627.89;15;0.1;0;6;1 - Celesc;
PAA01;146348;12259;562446.66;6970146.31;10;0;0;6;1 - Celesc;
PAA01;146360;12261;566193.11;6967781.18;10;7.7;0;6;1 - Celesc;
PAA01;146367;12161;560364.27;6975165.46;10;3.6;0;6;1 - Celesc;
PAA01;146368;13915;558822.88;6971018.36;10;1.5;0;6;1 - Celesc;
PAA01;146369;15218;560638.21;6970266.91;10;0;0;6;1 - Celesc;
PAA01;146904;12717;569850.62;6963685.45;10;2.5;0;6;1 - Celesc;
PAA01;146909;12403;575077.22;6968766.07;15;1.5;0;6;1 - Celesc;
PAA01;146902;18728;573426.35;6965633.27;10;0;0;6;1 - Celesc;
PAA01;146903;13875;573022.47;6965715.11;10;0.1;0;6;1 - Celesc;
PAA01;146910;15900;576980.78;6967942.15;15;1.3;0;6;1 - Celesc;
PAA01;146911;12404;575341.58;6967624.88;10;0.5;0;6;1 - Celesc;
PAA01;146912;12405;575491.59;6966463.07;10;0;0;6;1 - Celesc;
PAA01;146913;15213;574030.49;6966866.85;10;0;0;6;1 - Celesc;
PAA01;146914;12406;575668.14;6965848.29;25;1.5;0;6;1 - Celesc;
PAA01;148266;13313;560971.06;6959962.69;75;47.9;2250;21;1 - Celesc;
PAA01;148267;15612;560725.98;6960039.13;45;22.4;0;21;1 - Celesc;
PAA01;148264;12144;560946.92;6959637.12;45;55.6;5800;21;1 - Celesc;
PAA01;148265;6699;561143.42;6959788.98;45;37.8;8500;21;1 - Celesc;
PAA01;148271;12199;561641.81;6959744.48;45;45.3;0;21;1 - Celesc;
PAA01;148259;13314;560818.41;6960181.07;45;30.6;0;21;1 - Celesc;
PAA01;148260;15618;561005.5;6960066.5;75;65.2;5000;21;1 - Celesc;
PAA01;148261;12109;561076.32;6960246.2;45;50.1;0;21;1 - Celesc;
PAA01;148262;12143;561207.46;6959826.16;75;44.2;64000;21;1 - Celesc;
PAA01;148263;13312;560809.49;6959597.58;30;61.1;0;21;1 - Celesc;
PAA01;148252;12145;557590.51;6972878.39;10;0;0;6;1 - Celesc;
PAA01;148253;19189;557139.7;6973217.56;10;0.1;0;6;1 - Celesc;
PAA01;148496;18302;567078.04;6959647.59;30;0;0;21;1 - Celesc;
PAA01;149471;19388;561318.14;6968622.26;25;5.9;0;6;1 - Celesc;
PAA01;149473;19385;561361.21;6968255.62;10;1.4;0;6;1 - Celesc;
PAA01;149470;19197;559132.63;6970782.19;10;0;0;6;1 - Celesc;
PAA01;147747;20135;559808.16;6972876.19;10;0;0;6;1 - Celesc;
PAA01;147748;20136;560131.16;6969995.08;10;0;0;6;1 - Celesc;
PAA01;147749;20134;560522.02;6974015.25;10;0;0;6;1 - Celesc;
PAA01;147942;19972;561262.28;6961792.34;45;36.8;0;21;1 - Celesc;
PAA01;147943;13320;561194.97;6961638.55;45;23.1;0;21;1 - Celesc;
PAA01;149472;19391;561559.91;6968776.16;10;3.3;0;6;1 - Celesc;
PAA01;149474;19386;561559.84;6967727.31;15;2.1;0;6;1 - Celesc;
PAA01;149475;19387;561805.27;6967556.02;10;0.5;0;6;1 - Celesc;
PAA01;149477;19389;561094.26;6968870.21;10;0.5;0;6;1 - Celesc;
PAA01;149479;19044;563695.31;6965047.8;15;3.2;0;6;1 - Celesc;
PAA01;149481;19618;570284.86;6967771.85;15;1.9;0;6;1 - Celesc;
PAA01;149482;15183;561819.696592908;6965426.75280415;10;0.7;0;6;1 - Celesc;
PAA01;150434;21288;560691.13;6973882.21;37.5;7.8;0;6;1 - Celesc;
PAA01;150427;20813;557177.96;6972762.48;10;0.3;0;6;1 - Celesc;
PAA01;149727;13112;574871.11;6972035.42;15;2.3;0;6;1 - Celesc;
PAA01;149728;20658;574645.39;6971983.02;10;0;0;6;1 - Celesc;
PAA01;149729;20657;574383.17;6971875.07;15;2.4;0;6;1 - Celesc;
PAA01;150257;18472;558253.93;6973038.53;10;1;0;6;1 - Celesc;
PAA01;149893;18071;580939.84;6964711.48;10;1.1;0;6;1 - Celesc;
PAA01;149894;19233;584308.66;6964628.48;25;6.1;0;6;1 - Celesc;
PAA01;149895;18122;580869.72;6963993.29;15;0.4;0;6;1 - Celesc;
PAA01;150090;19830;566701.36;6960669.58;10;0;0;6;1 - Celesc;
PAA01;151757;21212;567311.54;6964163.97;10;1.8;0;6;1 - Celesc;
PAA01;151771;21178;571750.03;6971278.66;10;0;0;6;1 - Celesc;
PAA01;151754;21164;563074.19;6975088.3;15;1;0;6;1 - Celesc;
PAA01;151755;21163;562744.05;6974906.14;10;0;0;6;1 - Celesc;
PAA01;151756;21162;562342.14;6974031.25;10;1.4;0;6;1 - Celesc;
PAA01;151267;22466;573257.56;6971089.89;10;0;0;6;1 - Celesc;
PAA01;151780;20788;562210.09;6970488.43;10;0.1;0;6;1 - Celesc;
PAA01;151776;20734;561965.06;6964417.92;10;1.5;0;6;1 - Celesc;
PAA01;151778;20794;559533.69;6964064.2;10;0.5;0;6;1 - Celesc;
PAA01;151779;21161;561979.16;6974374.17;10;0.3;0;6;1 - Celesc;
PAA01;151781;20732;559944.32;6968934.89;10;0;0;6;1 - Celesc;
PAA01;151782;21177;560428.56;6963080.91;10;2.1;0;6;1 - Celesc;
PAA01;151783;21176;560249.75;6962937.08;10;0.3;0;6;1 - Celesc;
PAA01;151784;21174;566203.84;6967527.43;15;0.7;0;6;1 - Celesc;
PAA01;151786;20816;574444.91;6968069.83;10;1.5;0;6;1 - Celesc;
PAA01;151793;20883;568945.66;6970646.48;15;0;0;6;1 - Celesc;
PAA01;151794;20884;569726.84;6971690.07;10;0;0;6;1 - Celesc;
PAA01;151802;21497;569704.81;6970226.54;10;1.5;0;6;1 - Celesc;
PAA01;151803;21496;570158.63;6970883.07;10;0;0;6;1 - Celesc;
PAA01;151804;21495;570388.83;6971527.59;10; ;0;6;1 - Celesc;
PAA01;151805;21232;566396.53;6968066.6;10;0.2;0;6;1 - Celesc;
PAA01;151806;21233;566459.9;6968412.96;10;0;0;6;1 - Celesc;
PAA01;151294;23294;560793.4;6965846.65;10;0.5;0;6;1 - Celesc;
PAA01;152468;21789;574816.59;6969499.12;10;0.7;0;6;1 - Celesc;
PAA01;153415;20803;571006.36;6968360.1;10;0.8;0;6;1 - Celesc;
PAA01;153410;21238;580012.9;6970675.34;10;0;0;6;1 - Celesc;
PAA01;152440;21578;561843.52;6959590.27;45;32.9;0;21;1 - Celesc;
PAA01;153257;12811;570633.45;6966983.08;30;4.8;0;21;1 - Celesc;
PAA01;153270;22042;558250.27;6966560.51;10;1.7;0;6;1 - Celesc;
PAA01;153312;22104;570840.9;6968166.97;10;0.6;0;6;1 - Celesc;
PAA01;177568;24366;569850.52;6962265.08;10;0.1;0;6;1 - Celesc;
PAA01;177688;22271;555654.9;6963235.8;10;0;0;6;1 - Celesc;
PAA01;218629;25158;558343.53;6965276.36;10;3.3;0; ;1 - Celesc;
PAA01;232048;25290;582303.901;6971284.408;10;1;0; ;1 - Celesc;
PAA01;214352;25080;556254.143050603;6972458.6569494;15;4.8;2000;6;1 - Celesc;
PAA01;474809;85523;551610.78;6964643.04;1250;0;1296000;21;2 - Particular;
PAA01;475719;26564;578836.33;6967303.4;10;0.6;0; ;1 - Celesc;
PAA01;153073;21847;561044.02;6961033.27;30;11;0;21;1 - Celesc;
PAA01;159479;14943;581053.29;6975417.97;10;0.6;0;6;1 - Celesc;
PAA01;159665;20787;561029.76;6965873.61;15;0.2;0;6;1 - Celesc;
PAA01;162884;22392;567268.64;6969862.09;10;0;0;6;1 - Celesc;
PAA01;163197;20733;557108.15;6963199.89;10;0.4;0;6;1 - Celesc;
PAA01;162564;22123;558287.92;6968523.99;10;0;0;6;1 - Celesc;
PAA01;163307;20882;568292.5;6970718.94;10;0;0;6;1 - Celesc;
PAA01;163998;18390;567554.11;6959904.91;30;1.5;0;21;1 - Celesc;
PAA01;164171;21285;572345.93;6974132.33;10;0;0;6;1 - Celesc;
PAA01;165559;15294;551148.24;6965544.24;10;1.3;0;6;1 - Celesc;
PAA01;166182;23103;556000.25;6972960.9;10;0.5;0;6;1 - Celesc;
PAA01;166193;23269;581472.21;6973942.71;10;0.2;0;6;1 - Celesc;
PAA01;167939;23702;559989.43;6959482.71;15;8.2;0;6;1 - Celesc;
PAA01;169602;12706;564490.57;6961626.19;5;0.2;0;6;1 - Celesc;
PAA01;170529;23308;580692.29;6965006.09;10;0;0;6;1 - Celesc;
PAA01;170530;23309;580075.39;6964653.66;10;0.6;0;6;1 - Celesc;
PAA01;171201;23989;562018.58;6973039.42;10;0.3;0;7;1 - Celesc;
PAA01;171953;24658;578974;6967971.08;10;0;0;6;1 - Celesc;
PAA01;171954;24660;578240.35;6968233.21;10;0.1;0;6;1 - Celesc;
PAA01;173120;24732;555246.95;6971279.3;15;0.7;0;6;1 - Celesc;
PAA01;178596;23438;580618.33;6975396.12;10;0;0;6;1 - Celesc;
PAA01;181609;23981;560288.17;6972194.79;10;2.8;0;6;1 - Celesc;
PAA01;181610;23982;562087.88;6971827.9;5;0;0;6;1 - Celesc;
PAA01;182177;23732;565640.83;6966030.98;10;1.5;0;6;1 - Celesc;
PAA01;182357;23437;561853.64;6961508.42;10;3.3;0;6;1 - Celesc;
PAA01;185442;24800;572960.44;6964324.72;10;0.6;0;6;1 - Celesc;
PAA01;185376;24080;563987.05;6968843;10;0.7;0;6;1 - Celesc;
PAA01;185833;23821;569135.28;6967075.13;10;0;0;6;1 - Celesc;
PAA01;186904;23583;575431.21;6969816.88;10;0.5;0;6;1 - Celesc;
PAA01;187053;23544;559962.15;6975841.89;10;0;0;6;1 - Celesc;
PAA01;188472;24296;558921.86;6963864.99;10;0.4;0;6;1 - Celesc;
PAA01;188388;23310;575290.35;6968062.93;10;0.8;0;6;1 - Celesc;
PAA01;189776;9945;562659.52;6962282.85;10;0;0;6;1 - Celesc;
PAA01;190729;24458;555244.01;6971923.61;10;0.3;0;6;1 - Celesc;
PAA01;207834;25059;557662.19;6968297.66;10;1.5;0; ;1 - Celesc;
PAA01;202025;25023;565383.237824437;6965042.05704471;15;1.6;0; ;1 - Celesc;
PAA01;202096;24954;559146.39;6962031.22;10;0.5;0; ;1 - Celesc;
PAA01;214353;25081;556182.189629518;6972144.98344305;10;0.5;0;6;1 - Celesc;
